Date,HE,RT Demand
1/27/2020,22,13977.96
1/27/2020,23,12900.52
1/27/2020,24,11925.01
1/28/2020,1,11308.77
1/28/2020,2,11005.64
1/28/2020,3,11059.82
1/28/2020,4,11102.97
1/28/2020,5,11464.03
1/28/2020,6,12451.57
1/28/2020,7,13735.49
1/28/2020,8,14620.83
1/28/2020,9,14528.94
1/28/2020,10,14242.65
1/28/2020,11,14345.49
1/28/2020,12,14547.26
1/28/2020,13,14615.67
1/28/2020,14,14683.78
1/28/2020,15,14706.24
1/28/2020,16,14906.02
1/28/2020,17,15539.77
1/28/2020,18,16411.73
1/28/2020,19,16395.86
1/28/2020,20,15948.32
1/28/2020,21,15310.15
1/28/2020,22,14337.79
1/28/2020,23,13305.14
1/28/2020,24,12465.33
1/29/2020,1,11878.03
1/29/2020,2,11729.39
1/29/2020,3,11603.8
1/29/2020,4,11636.89
1/29/2020,5,11888.38
1/29/2020,6,12574.07
1/29/2020,7,14347.06
1/29/2020,8,15289.92
1/29/2020,9,14939.99
1/29/2020,10,13967.89
1/29/2020,11,13194.56
1/29/2020,12,12948.73
1/29/2020,13,12707.03
1/29/2020,14,12759.3
1/29/2020,15,13115.8
1/29/2020,16,13936.84
1/29/2020,17,15015.68
1/29/2020,18,16321.03
1/29/2020,19,16533.92
1/29/2020,20,16221.55
1/29/2020,21,15712.99
1/29/2020,22,14829.85
1/29/2020,23,13683.11
1/29/2020,24,12964.62
1/30/2020,1,12471.19
1/30/2020,2,12184.34
1/30/2020,3,12125.02
1/30/2020,4,12225.78
1/30/2020,5,12651.38
1/30/2020,6,13473.83
1/30/2020,7,15276
1/30/2020,8,16153.56
1/30/2020,9,15550.13
1/30/2020,10,14505.89
1/30/2020,11,13757.49
1/30/2020,12,13275.96
1/30/2020,13,12962.65
1/30/2020,14,12965.02
1/30/2020,15,13349.49
1/30/2020,16,14273.48
1/30/2020,17,15414.18
1/30/2020,18,16605.91
1/30/2020,19,16728.75
1/30/2020,20,16395.56
1/30/2020,21,15847.09
1/30/2020,22,14945.36
1/30/2020,23,13768.77
1/30/2020,24,12809.37
1/31/2020,1,12206.47
1/31/2020,2,11887.82
1/31/2020,3,11778.83
1/31/2020,4,11810.99
1/31/2020,5,12177.93
1/31/2020,6,13216.4
1/31/2020,7,14928.32
1/31/2020,8,15743.36
1/31/2020,9,15123.28
1/31/2020,10,14212.84
1/31/2020,11,13701.88
1/31/2020,12,13485.96
1/31/2020,13,13418.77
1/31/2020,14,13578.93
1/31/2020,15,13843.2
1/31/2020,16,14305.72
1/31/2020,17,14944.08
1/31/2020,18,15771.58
1/31/2020,19,15652.24
1/31/2020,20,15227.95
1/31/2020,21,14673.03
1/31/2020,22,13941.17
1/31/2020,23,12991.49
1/31/2020,24,12067.42
2/1/2020,1,11585.3
2/1/2020,2,11529.3
2/1/2020,3,11515.33
2/1/2020,4,11589
2/1/2020,5,11693.08
2/1/2020,6,11689.68
2/1/2020,7,12248.9
2/1/2020,8,12794.76
2/1/2020,9,13378.41
2/1/2020,10,13821.12
2/1/2020,11,14044.4
2/1/2020,12,14100.92
2/1/2020,13,14034.49
2/1/2020,14,13923.17
2/1/2020,15,13884.76
2/1/2020,16,13998.83
2/1/2020,17,14421.65
2/1/2020,18,15013.62
2/1/2020,19,14859.6
2/1/2020,20,14412.25
2/1/2020,21,13905.53
2/1/2020,22,13282.25
2/1/2020,23,12476.21
2/1/2020,24,11845.95
2/2/2020,1,11547.18
2/2/2020,2,11433.76
2/2/2020,3,11282.65
2/2/2020,4,11211.13
2/2/2020,5,11298.59
2/2/2020,6,11498.31
2/2/2020,7,11852.45
2/2/2020,8,12208.95
2/2/2020,9,12556.75
2/2/2020,10,12597
2/2/2020,11,12365.42
2/2/2020,12,12549.53
2/2/2020,13,12882.42
2/2/2020,14,13006.43
2/2/2020,15,13146.02
2/2/2020,16,13668.4
2/2/2020,17,14507.25
2/2/2020,18,15501.67
2/2/2020,19,15259.5
2/2/2020,20,14482.38
2/2/2020,21,13915.96
2/2/2020,22,13384.75
2/2/2020,23,12804.92
2/2/2020,24,12153.74
2/3/2020,1,11693.56
2/3/2020,2,11597.12
2/3/2020,3,11489.99
2/3/2020,4,11557.56
2/3/2020,5,11877.42
2/3/2020,6,12586.6
2/3/2020,7,13844.4
2/3/2020,8,14763.1
2/3/2020,9,14469.7
2/3/2020,10,13749.53
2/3/2020,11,13548.68
2/3/2020,12,13665.47
2/3/2020,13,13814.75
2/3/2020,14,13727.42
2/3/2020,15,13487.7
2/3/2020,16,13631.66
2/3/2020,17,14476.83
2/3/2020,18,15661.08
2/3/2020,19,15853.44
2/3/2020,20,15469.77
2/3/2020,21,14832.31
2/3/2020,22,13907.86
2/3/2020,23,12919.71
2/3/2020,24,12075.33
2/4/2020,1,11704.18
2/4/2020,2,11704.62
2/4/2020,3,11582.86
2/4/2020,4,11614.26
2/4/2020,5,11963.8
2/4/2020,6,12656.03
2/4/2020,7,13905.58
2/4/2020,8,14736.04
2/4/2020,9,14839.5
2/4/2020,10,14688.88
2/4/2020,11,14537.14
2/4/2020,12,14362.92
2/4/2020,13,14185.27
2/4/2020,14,14217.62
2/4/2020,15,13807.62
2/4/2020,16,13826.18
2/4/2020,17,14598.48
2/4/2020,18,15640.05
2/4/2020,19,15768.9
2/4/2020,20,15357.58
2/4/2020,21,14691.71
2/4/2020,22,13703
2/4/2020,23,12832.71
2/4/2020,24,12019.47
2/5/2020,1,11234.69
2/5/2020,2,10770.99
2/5/2020,3,10830.2
2/5/2020,4,10898.1
2/5/2020,5,11018.1
2/5/2020,6,11798.57
2/5/2020,7,13510.83
2/5/2020,8,14410
2/5/2020,9,14363.7
2/5/2020,10,14399.22
2/5/2020,11,14459.86
2/5/2020,12,14136.59
2/5/2020,13,13831.13
2/5/2020,14,13713.06
2/5/2020,15,13648.98
2/5/2020,16,14061.01
2/5/2020,17,14790.84
2/5/2020,18,15966.57
2/5/2020,19,16150.26
2/5/2020,20,15833.72
2/5/2020,21,15269.21
2/5/2020,22,14349
2/5/2020,23,13171.26
2/5/2020,24,12164.95
2/6/2020,1,11507.8
2/6/2020,2,11145.33
2/6/2020,3,11271.35
2/6/2020,4,11362.69
2/6/2020,5,11752.83
2/6/2020,6,12490.11
2/6/2020,7,14018.56
2/6/2020,8,15034.26
2/6/2020,9,15445.92
2/6/2020,10,15662.62
2/6/2020,11,15752.54
2/6/2020,12,15740.41
2/6/2020,13,15582.4
2/6/2020,14,15571.02
2/6/2020,15,15456.58
2/6/2020,16,15418.84
2/6/2020,17,15785.74
2/6/2020,18,16443.05
2/6/2020,19,16324.21
2/6/2020,20,15853.08
2/6/2020,21,15206.56
2/6/2020,22,14265.04
2/6/2020,23,13116.42
2/6/2020,24,12179.69
2/7/2020,1,11985.96
2/7/2020,2,11873.5
